Categoria,Região,Url da Bandeira ,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Acre,Norte,https://raw.githubusercontent.com/iconolatry/brazilian-states-flags/da53c2f1fe28ed67d2049b624f21536c337fd118/svg/acre.svg,281975.38400325424,288530.1211626037,307410.30486348347,326376.22939071845,347000.84120382176,384611.60206095496,422173.0487813867,460149.50877203787,492984.29364752356,543980.9542187605,935202.1496750945,1058396.3451974848,1267865.6961514512,1326145.3159539525,1451987.0405324392,1110373.4801094357,1111400.046248954,1175493.4327957267,1240981.5180108005,1264158.4244580483,21308961.33082353,24258285.442065075,27365415.813679025,26856386.084022272,39732672.26939555,36510945.88518717,40696525.91817104,34975100.731649525,32819747.182431214,38236521.478113465,37932934.085776016,31647694.81551793,48772993.063425526,54572496.37341327,40282813.86555734,40444407.87108589,31526472.967413463,25845620.818597216,26276979.38679711,26394153.086990736,28110621.14654153,23278814.49024828,22605305.48905868,26905714.992195975,28995881.645117607,31383914.81297627,27922279.35916194,31309979.825770732,34754042.86,60929334.76,53933078.575428426,65622205.597804174,74012850.03375398,29615770.9
Alagoas,Nordeste,https://raw.githubusercontent.com/iconolatry/brazilian-states-flags/da53c2f1fe28ed67d2049b624f21536c337fd118/svg/alagoas.svg,1563425.6243911244,1663126.1930747544,1777029.6442184157,1853632.1010973637,1951070.135279559,2052898.7772482755,2138861.2484124037,2264560.365139203,2399928.073039209,2591242.516331598,3260497.275436388,3381487.4169593966,3714875.2842612774,3294604.5877449727,3532900.918677304,3523132.013705991,3474915.9417458135,3650349.026676857,3536991.055932165,3802656.849453843,7993896.473224205,9682129.008076543,7942601.344,6654202.036262938,6293927.971463001,7027143.797658183,6929801.199579963,7341120.985,7223930.330360004,6961667.375534986,6243199.383212759,6816199.966660481,6423496.757505599,6401866.397181401,6286507.056859797,6369346.406209422,6482842.839555724,7781294.539184935,6744390.368901899,6971497.232141186,8453119.611956337,8810549.072193861,8488083.270067455,8493127.961314432,8598414.246894466,8561234.469237193,8485819.979261182,9074095.964912504,7998005.942357924,8191827.253204289,8635575.037299357,9517384.757091459,9291422.572,10508940.51
Amapá,Norte,https://raw.githubusercontent.com/iconolatry/brazilian-states-flags/da53c2f1fe28ed67d2049b624f21536c337fd118/svg/amapa.svg,188777.75401572225,214725.31323170266,234266.3056807079,253852.99585462807,273948.2051201416,225452.22233573959,236570.54246381522,232539.39621497854,256015.62494447766,254040.48677679786,310762.84199542576,317286.0271435806,395844.79087065253,371156.3548120146,386434.5433342612,398190.66157449735,452360.30758757936,621555.9037984784,646644.7187956806,705803.9259407233,3450555.3839118686,1581341.8111878163,6574879.523849934,2805204.496337817,4828273.603576871,4232434.2321915375,3932957.4491733275,2389819.714392152,4355531.222707897,3245226.3918151185,3827013.753677398,3183759.719738121,4548411.576499969,3005753.5515127727,3607639.9376535947,3067738.9136022897,3161695.913556805,3321903.4603593806,4026452.140438001,4304161.721305871,3705752.691345386,3637065.5858020745,4228806.597067775,3950591.6286485847,4523349.356828888,3958983.0880265646,7614345.034755352,3732565.575697311,3271708.4964760877,3652935.022779369,2770261.5001513595,2578993.683228211,10929418.01544644,6021088.353
Amazonas,Norte,https://raw.githubusercontent.com/iconolatry/brazilian-states-flags/da53c2f1fe28ed67d2049b624f21536c337fd118/svg/amazonas.svg,876085.2170058968,932540.0615789854,992306.6765663192,1052754.7478541029,1109989.7844283045,850611.3479718805,895096.6813280724,918553.0413,987398.1714306357,1038883.6517444941,1889379.892214132,2305384.0811883933,3458718.9524235446,3074026.4263449097,3154608.678897989,3338469.7453694018,3464842.531586964,4013111.440025284,4711574.794709611,3812584.590401884,21606709.009402085,23182069.334519956,33931750.52216309,33128191.801675994,34809614.40084319,37601807.02092478,43736281.80553235,60411580.212675825,74929965.87159583,46224229.52,44392783.215699226,36883258.00111553,49212026.23085338,77110985.25675566,66312347.85298964,73270193.26245187,70984030.62883371,52489278.508821316,45357162.56,46849313.77712411,58537702.16566311,43011745.61974986,44351366.50718324,54903569.85234918,55550696.04578637,78728484.64498511,109492504.75621742,80034579.95554182,75600432.03277722,126853526.2076088,117296267.17724314,186302370.3842942,205311118.3928149,92920157.32
Bahia,Nordeste,https://raw.githubusercontent.com/iconolatry/brazilian-states-flags/da53c2f1fe28ed67d2049b624f21536c337fd118/svg/bahia.svg,15932675.027826909,16700034.62,17373500.588237662,18052294.01,18714414.011534885,22753808.31893566,24179114.21598232,24379198.418623604,24992926.261779632,25489271.857455958,28126644.945237868,28741671.127118275,33259972.53430488,32548162.813973594,33261316.833402358,35125846.401105836,34755775.94175208,36287760.890532926,37422605.50204395,38829315.78857761,109641990.14207718,112988088.96298604,111979366.79482138,101928340.48112625,100125796.26890472,103801824.58985229,96029188.99165016,89181555.02711222,86988046.23,97609569.31875396,93655266.51670544,91161760.66623032,83102044.25428203,84748306.33352494,104088325.01396386,93857893.34964857,88719774.75486091,86318363.79549345,101273333.97733799,95992646.53422397,87120287.10990629,90169363.84153607,99337308.46209757,102996272.34521155,92494813.28910123,85433893.24772629,84311342.00512448,78668624.15476108,86972207.11365575,92658441.55471933,100302355.98405273,112067043.71933931,120289305.56959239,134962851.4
Ceará,Nordeste,https://raw.githubusercontent.com/iconolatry/brazilian-states-flags/da53c2f1fe28ed67d2049b624f21536c337fd118/svg/ceara.svg,5267773.132938765,5533046.701663436,5784994.666,6026693.605300445,6239419.343468424,6547325.572211247,6598853.099465281,6680036.49,6830192.116553025,7035014.168901708,8150725.778191718,8125794.536504345,8774810.300735231,7336077.838238306,8211552.596,9724183.639,10361931.223037573,10492456.792904448,11062385.666018294,11076180.083372228,22536972.50414917,24695070.85067064,17779702.514448512,15467667.465187754,15891253.185785707,17284702.37979005,16421836.044992223,17915587.330686226,20500223.633740216,31340249.03007052,22695777.205136795,19941449.814746693,19174057.737424888,18344161.914715778,20122183.02909877,26390888.06591555,23603929.845816977,23443747.448856004,22783884.029310595,21396443.26,24943942.973534588,24046808.83,24666791.09755858,28734313.952089146,33414192.527247876,32122307.507984754,30444532.881744392,31808874.670014273,28991951.205059588,32527972.52261111,28755681.92824536,35114506.31979734,31469280.294899724,35363140
Distrito Federal,Centro-oeste,https://raw.githubusercontent.com/iconolatry/brazilian-states-flags/da53c2f1fe28ed67d2049b624f21536c337fd118/svg/distrito-federal.svg,136368.9213560247,144144.81586888758,166741.4662418142,299512.9730564472,314620.7868993296,348947.3684,389638.70688017085,454453.12240342796,467504.1376890084,519302.19310635515,1003050.9626924954,1006632.332970581,1261275.0911209732,1271631.7992009846,1181622.399826142,1342500.1184795825,1454809.2221570937,1485442.6270585535,1967106.6171050789,1665790.1662162868,3035021.5858759284,3205310.854406643,2945904.028918446,2984192.0798244877,3246562.4257682865,3279126.256281499,3564121.6290177964,3956244.4201978967,4880014.585192338,4783475.802720532,5159520.113398109,5234778.944236565,5318069.793274097,5159979.751,5475240.438554969,5428789.737660328,5381673.187549988,5678007.831345214,5740211.439793736,5914045.163,6631357.774559229,7215068.936636336,7609741.601389112,7882763.199581262,8636682.224,8834661.593876693,8046813.89,7857851.796545397,7155918.539988806,7157496.272482136,6478377.757763425,7215262.242987571,7210608.473460882,7274556.75
Espírito Santo,Sudeste,https://raw.githubusercontent.com/iconolatry/brazilian-states-flags/da53c2f1fe28ed67d2049b624f21536c337fd118/svg/espirito-santo.svg,3855001.730238758,4209621.238661415,4435182.975823402,4634365.197080267,4841090.239646851,5763432.534780171,6215119.353198641,6339340.661060309,6210143.021219946,5797676.656179019,6362081.742599364,6642286.348155867,7984080.970426248,7963500.910172151,12870937.165428702,13632419.93192789,14250006.784140538,13649307.380913887,13762028.660129702,14073948.669763476,21196011.15950024,23271168.976607572,20044502.69560466,20069282.382461466,22876133.051162433,23845962.674357995,19070610.827781357,21723468.98399994,24410945.429343306,19223498.249895193,24453337.28486385,19604488.164108597,20926809.52759273,23338018.199413463,19084663.88716426,18568918.93998621,19701738.844961293,25808194.88066482,23818104.46855134,24712771.79364225,28639714.048798405,30951856.904069908,31692487.971824244,34305865.823283754,34523346.73197899,35107749.258349165,33881927.256078325,33118402.770128854,31841472.741514646,30152089.107675135,30320720.06090762,33070582.526092924,31014781.536684796,29566932.23
Goiás,Centro-oeste,https://raw.githubusercontent.com/iconolatry/brazilian-states-flags/da53c2f1fe28ed67d2049b624f21536c337fd118/svg/goias.svg,19765513.800247334,21591043.30771607,23481280.60783154,25358621.344019808,22591106.91831481,26472257.87102312,28448027.020020694,28651712.35000394,29095272.52883247,30713974.733597435,35663729.26560974,36525439.31554356,37381257.58104189,39872829.87371681,42355379.72049529,41934031.96757397,41249381.605318554,43217780.79690785,44735224.58606422,45692500.419185795,106924459.74802539,104696057.15844414,112468660.96818407,105610924.91023809,103228786.95738038,105930640.30941577,91085918.34568027,88816311.06187038,85697137.99226871,86953060.64075826,88661770.91141853,85129567.56392474,88369768.64222902,93237001.04593548,97447994.23550408,87316640.39609797,79876666.66367868,77582912.25,78300066.89494482,78059133.36780606,81279872.28531551,79777209.72844885,84951469.09240024,86265927.22177176,87231517.33,87424880.85823096,83628724.38317564,84387238.98482083,83654647.90696114,87382690.46974139,90726655.86524054,90019822.89279239,91769903.74,92831967
Maranhão,Nordeste,https://raw.githubusercontent.com/iconolatry/brazilian-states-flags/da53c2f1fe28ed67d2049b624f21536c337fd118/svg/maranhao.svg,5454479.600659166,5674522.671374393,5900026.178135784,6128488.772515159,6332523.601750741,6630378.989842571,6856459.416692522,7023282.033921085,7368287.896363754,7900744.985388201,9623335.397646053,9726794.045933798,10390429.356022574,10205279.818679806,10881264.960543944,11048318.77079168,12212720.580085523,12844309.683896339,13464149.377050327,13975514.03616998,155195859.97243583,143784970.80929595,203711610.30886257,164288184.87471113,152616759.41784972,143267937.3121743,139497598.0100718,128887065.41533421,189756452.07714325,124264484.6403252,153847847.3,128728810.45353356,126047213.6735623,164667249.64629912,133753348.13305515,131997429.68565242,129652575.89574766,134014497.03667633,130671315.73492138,96849035.43370128,87310974.86020853,93907076.02882187,115968724.44143006,118902883.20531073,98316208.93006957,106302230.84583923,106634722.13898697,95589321.17,93019999.00200804,105652490.46481438,119382331.4324789,117197000.87619492,153841142.33336234,173423805.7
